date,open,high,low,close,volume,R
2012-06-21 10:43:00,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:43:01,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:43:02,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:43:03,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:43:04,27.38,27.38,27.38,27.38,0,4e-05
2012-06-21 10:43:05,27.38,27.38,27.38,27.38,0,7e-05
2012-06-21 10:43:06,27.38,27.38,27.38,27.38,0,0.00011
2012-06-21 10:43:07,27.38,27.38,27.38,27.38,0,0.00015
2012-06-21 10:43:08,27.385,27.385,27.385,27.385,100,0.00015
2012-06-21 10:43:09,27.385,27.385,27.385,27.385,0,0.00011
2012-06-21 10:43:10,27.385,27.385,27.385,27.385,0,7e-05
2012-06-21 10:43:11,27.385,27.385,27.385,27.385,0,7e-05
2012-06-21 10:43:12,27.385,27.385,27.385,27.385,0,7e-05
2012-06-21 10:43:13,27.385,27.385,27.385,27.385,0,0.00011
2012-06-21 10:43:14,27.385,27.385,27.385,27.385,0,0.00015
2012-06-21 10:43:15,27.39,27.395,27.39,27.395,4100,0.00015
2012-06-21 10:43:16,27.39,27.395,27.39,27.395,0,0.00011
2012-06-21 10:43:17,27.39,27.395,27.39,27.395,0,7e-05
2012-06-21 10:43:18,27.39,27.395,27.39,27.395,0,4e-05
2012-06-21 10:43:19,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:20,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:21,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:22,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:23,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:24,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:25,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:26,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:27,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:28,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:29,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:30,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:31,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:32,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:33,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:34,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:35,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:36,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:37,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:38,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:39,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:40,27.39,27.395,27.39,27.395,0,0.0
2012-06-21 10:43:41,27.39,27.395,27.39,27.395,0,7e-05
2012-06-21 10:43:42,27.39,27.395,27.39,27.395,0,0.00015
2012-06-21 10:43:43,27.39,27.395,27.39,27.395,0,0.00022
2012-06-21 10:43:44,27.39,27.395,27.39,27.395,0,0.00029
2012-06-21 10:43:45,27.4,27.4,27.4,27.4,8,0.00029
2012-06-21 10:43:46,27.4,27.4,27.4,27.4,0,0.00022
2012-06-21 10:43:47,27.4,27.4,27.4,27.4,0,0.00015
2012-06-21 10:43:48,27.4,27.4,27.4,27.4,0,7e-05
2012-06-21 10:43:49,27.4,27.4,27.4,27.4,0,0.0
2012-06-21 10:43:50,27.4,27.4,27.4,27.4,0,0.0
2012-06-21 10:43:51,27.4,27.4,27.4,27.4,0,0.0
2012-06-21 10:43:52,27.4,27.4,27.4,27.4,0,0.0
2012-06-21 10:43:53,27.4,27.4,27.4,27.4,5300,0.0
2012-06-21 10:43:54,27.4,27.4,27.4,27.4,0,7e-05
2012-06-21 10:43:55,27.4,27.4,27.4,27.4,209,0.00015
2012-06-21 10:43:56,27.4,27.4,27.4,27.4,0,0.00022
2012-06-21 10:43:57,27.4,27.4,27.4,27.4,0,0.00029
2012-06-21 10:43:58,27.41,27.41,27.41,27.41,3600,0.00036
2012-06-21 10:43:59,27.41,27.41,27.41,27.41,0,0.00036
2012-06-21 10:44:00,27.41,27.41,27.41,27.41,0,0.00036
2012-06-21 10:44:01,27.41,27.41,27.41,27.41,0,0.0004
2012-06-21 10:44:02,27.42,27.42,27.42,27.42,6081,0.00036
2012-06-21 10:44:03,27.42,27.42,27.42,27.42,0,0.00033
2012-06-21 10:44:04,27.42,27.42,27.42,27.42,0,0.00029
2012-06-21 10:44:05,27.425,27.425,27.425,27.425,200,0.00018
2012-06-21 10:44:06,27.425,27.425,27.425,27.425,0,4e-05
2012-06-21 10:44:07,27.425,27.425,27.425,27.425,0,-4e-05
2012-06-21 10:44:08,27.425,27.425,27.425,27.425,0,-0.00011
2012-06-21 10:44:09,27.42,27.42,27.42,27.42,100,-0.00015
2012-06-21 10:44:10,27.42,27.42,27.42,27.42,0,-0.00011
2012-06-21 10:44:11,27.42,27.42,27.42,27.42,0,-7e-05
2012-06-21 10:44:12,27.42,27.42,27.42,27.42,0,-4e-05
2012-06-21 10:44:13,27.42,27.42,27.42,27.42,0,0.0
2012-06-21 10:44:14,27.42,27.42,27.42,27.42,0,4e-05
2012-06-21 10:44:15,27.42,27.42,27.42,27.42,0,7e-05
2012-06-21 10:44:16,27.42,27.42,27.42,27.42,0,0.00011
2012-06-21 10:44:17,27.42,27.42,27.42,27.42,0,0.00015
2012-06-21 10:44:18,27.425,27.425,27.425,27.425,100,0.00015
2012-06-21 10:44:19,27.425,27.425,27.425,27.425,0,0.00011
2012-06-21 10:44:20,27.425,27.425,27.425,27.425,0,7e-05
2012-06-21 10:44:21,27.425,27.425,27.425,27.425,0,4e-05
2012-06-21 10:44:22,27.425,27.425,27.425,27.425,100,-4e-05
2012-06-21 10:44:23,27.425,27.425,27.425,27.425,0,-7e-05
2012-06-21 10:44:24,27.425,27.425,27.425,27.425,0,-7e-05
2012-06-21 10:44:25,27.425,27.425,27.42,27.42,10000,-7e-05
2012-06-21 10:44:26,27.42,27.425,27.42,27.425,144,-4e-05
2012-06-21 10:44:27,27.42,27.425,27.42,27.425,0,4e-05
2012-06-21 10:44:28,27.425,27.425,27.425,27.425,100,7e-05
